"pregunta","categoria","opcion1","opcion2","opcion3","opcion4","opcion5","opcion6","opcion7","opcion8","correctas","explicacion"
"Cuál de la actividad de la Ingeniería de Requisitos que requiere activa participación de Cliente y Usuarios; y además tiene por objetivo asegurar la calidad de los mismos es:","Burplero Final","Validacion","Educcion","Analisis","Verificacion","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Qué objetivos perseguimos cuando a partir de la realidad construimos un MODELO DEL SISTEMA EXISTENTE?","Burplero Final","Utilizarlo durante la ingenieria de requisitos ya que conducen a los requisitos para el nuevo sistema.","Discutir las propuestas de diseño y documentar el sistema para la implementacion","Utilizarlo como base para discutir sus fortalezas y debilidades","Entenderlo y aclarar lo que hace el sistema existente","Explicar los requisitos propuestos a otros participantes del sistema.","","","","1;3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Las actividades de XP son:","Burplero Final","Codificar, simpleza, escuchar y respeto","Comunicacion, simpleza, retroalimentacion y valentia","Codificar, probar, escuchar y diseñar","Comunicacion, diseñar, escuchar y probar","","","","","3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Los métodos ágiles son más efectivos cuando:","Burplero Final","El equipo de desarrollo esta altamente calificado y motivado y esta distribuido geograficamente","El proyecto es innovador, el cliente esta disponible e involucrado y el equipo esta altamente calificado y motivado","El proyecto es innovador y se tiene un equipo recien formado con niveles de habilidad muy limitadas","El proyecto es innovador, el cliente solo puede tener una limitada participacion y el equipo esta altamente calificado y motivado","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el análisis del Proceso Unificado, con referencia a las Clases de Análisis, cuál de las siguientes afirmaciones es verdadera:","Burplero Final","Una clase entidad no puede aparecer en varias realizaciones de Caso de Uso","Cada clase de interfaz deberia asociarse con al menos un actor, y viceversa","Se debe identificar solo una clase Control de control por cada escenario del Caso de Uso","Se debe identificar solo una clse de Control por cada actor","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Identifique cuál de las siguientes afirmaciones corresponde a la definición de un proyecto de software exitoso","Burplero Final","Proyectos en los que el producto cumple con los requisitos esperados","Proyectos concluidos con retraso, por encima del presupuesto y/o con menos de los requisitos esperados.","Son proyectos que se cancelaron o se finalizaron pero el producto nunca se uso","Proyectos que terminaron en tiempo, presupuesto y cumplieron con los requisitos teniendo en cuenta aspectos como la calidad y la satisfaccion del cliente","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Que es una Historia de Usuario?","Burplero Final","Una breve descripcion de ""hecho"", que pruebas se llevaron a cabo para poder decir que se ha completado con exito.","Una descripcion priorizada de todo lo que tiene que hacer el software","Un post-it que se utiliza para escribir la especificacion de requisitos","Una descripcion breve, de una funcionalidad del software tal y como la percibe el usuario","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el proceso de Resolución de Problemas, el paso Proponer soluciones alternativas va después de","Burplero Final","Conocimiento de las causas del problema","Determinar el problema y sus asociadoss","Definir claramente el problema","Evaluar y seleccionar soluciones","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Según Scrum para cualquier sprint en curso ¿Cuándo se puede añadir nuevas Historias de Usuario?","Burplero Final","Nuevas Historias de Usuario nunca pueden ser añadidos al Sprint","Cuando el Scrum Master agrega Historias de Usuario al Sprint Backlog","Cuando el Product Owner aprueba la Historia de Usuario","Cuando el equipo Scrum aprueba la Historia de Usuario","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cual de las características enunciadas a continuación corresponden a una Metodología","Burplero Final","Siempre utilizan como notacion UML","En un proyecto de desarrollo de Software implican la posibilidad de sufrir una perdida","La aplicacion de la misma siempre implica mayor burocracia lo que conlleva a la finalizacion fuera de la fecha establecida","En un proyecto de desarrollo de Software define Quien debe hacer, Que, Cuando y Como debe hacerlo","No existe una metodologia para el desarrollo de software unirversal, se la debe seleccionar y adaptar a cada proyecto en particular","","","","4;5","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuál de los siguientes NO es un objetivo de procesos que puede tener un proyecto de sistema","Burplero Final","Mejora del servicio al cliente","Aceleracion de un proceso","Optimizacion de un proceso al eliminar pasos innecesarios o duplicados","Reduccion de almacenamiento redundante","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Las variables que condicionan un proyecto son:","Burplero Final","Alcance, tiempo, costo (Recursos) y calidad","Ninguna","Alcance, tiempo, programas y calidad","Alcance, tiempo, consto (recursos) y cantidad","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Identificar el concepto que corresponde a cada definicion","Burplero Final","Ingenieria de Software","Objetivo","Sinergia","Ingeniero de Sistemas","Ciencia","Ingenieria","Ingenieria de Sistemas","Comprende todos los aspectos de la produccion del software de calidad, desde las etapas iniciales de la especificacion del sistema hasta el mantenimiento de este despues de que se utiliza.","1=7;2=8;3=9;4=10;5=11;6=12","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"La técnica de Gherkin se aconseja utilizar para:","Burplero Final","Escribir los criterios de aceptacion en una Historia de Usuario","Escribir en el anverso de la Historia de Usuario como descripcion de la misma","Utilizar para conducir la conversacion que se debe llevar a cabo","Estimar los puntos de Historias de Usuario","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Si al software le agregamos nuevas funcionalidades no contempladas en la implementación hacemos:","Burplero Final","Mantenimiento preventivo","Mantenimiento adaptativo","Mantenimiento correctivo","Mantenimiento perfectivo","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Un Diagrama de Colaboración representa a:","Burplero Final","Un solo escenario del caso de uso","Al igual que el diagrama de estados, muestra todos los caminos posibles (basicos y alternativos) de un caso de uso","Todos los actores y casos de uso","La interaccion de un caso de uso de forma completa","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"La creación de confianza y la observación del lugar de trabajo es uno de los objetivos de la técnica","Burplero Final","Entrevista","Cuestionario","Cliente","Observacion","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"De acuerdo al Proceso Unificado, de los siguientes ¿Cuales son flujo de trabajo de soporte?","Burplero Final","Identificar las HU a incluir en el Sprint","Gestion de la configuracion","Despliegue","Construccion","Entorno de desarrollo","Pruebas","","","2;5","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"La Especificación de Requisitos es Correcta:","Burplero Final","Si y solo si todo requisito formulado en ella debe ser satisfecho por el software","Si no existe conflictos de comportamiento, terminos o caracteristicas.","Si y solo si incluye todo lo que se supone el software debe hacer","Si tiene una organizacion coherente y es facil de usar","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cual de los siguientes Artefactos son responsabilidad del Analista en el Proceso Unificado?","Burplero Final","Modelo de Casos de Uso","Descripcion de la arquitectura","Glosario de Terminos","Realizacion de Casos de Uso","Paquetes de Analisis","","","","1;3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuando al prescindir de un requisito, provoca una deficiencia en el sistema a construir. Se refiere a la característica:","Burplero Final","Necesario","Verificable","Correcto","No ambiguo","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"La técnica que posibilita evaluar lo que es dicho y como es dicho es","Burplero Final","Observacion","Entrevista","Cliente","Cuestionario","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Los aspectos que se deben analizar en el estudio de Factibilidad son:","Burplero Final","Tecnica, Optativa, Economica, Financiera, De programa (temporal) y Legal","Tecnica, Operativa, Ergonomica, Financiera y Tecnologia","Tecnica, alcance, tiempo, recursos y calidad","Tecnica, Operativa, Economica, Financiera, De Programa (temporal) y Legal.","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Las fases del proceso unificado de desarrollo son:","Burplero Final","Investigacion, Desarrollo, Prueba, Implementacion","Requisitos, Analisis, Diseño, Implementacion y Prueba","Inicio, Investigacion, Construccion, Prueba","Inicio, Elaboracion, Construccion, Transicion","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Los Pilares del Control Empírico de procesos que utilizan las Propuestas Ágiles son:","Burplero Final","Alcance, tiempo y recursos","Visibilidad, inspeccion y adaptacion","Vulnerabilidad, inspeccion y adaptacion","Alcance, tiempo, recursos y calidad","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"El éxito de una entrevista depende, principalmente, de:","Burplero Final","La habilidad del entrevistador y de su preparacion para la misma","La secuencia en la que se formulen las preguntas","La disposicion de mucho tiempo para llevarla a cabo","La utilizacion de un buen lenguaje tecnico","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cual de los siguientes NO es una propiedad del modelo orientado a objeto?","Burplero Final","Abstraccion","Encapsulamiento","Independencia","Herencia","","","","","3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el análisis del proceso unificado las clases entidad:","Burplero Final","Modelan la interaccion entre el actor y el sistema a desarrollar","Modelan exclusivamente la interaccion del usuario y el sistema a desarrollar","Representa la logica de negocio asociada a la clase de control","Representa la informacion de larga vida en el sistema","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"El desarrollo de los requisitos es un proceso de:","Burplero Final","Recoleccion y documentacion de informacion que nos brindan los usuarios","Mostrar a los usuarios como trabajar mejor","Recoleccion de informacion que nos brindan los clientes y usuarios","Descubrimiento e invencion, para determinar las necesidades de clientes y usuarios","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En Scrum la pregunta ¿Qué deberíamos mejorar? Corresponde a la reunión:","Burplero Final","de Planificacion","Revision","Diaria","Retrospectiva","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Se denomina riesgo del proyecto a todo:","Burplero Final","Acontecimiento que pueda ocurrir y que si se convierte en realidad provocara un impacto negativo.","Evento futuro que se producira durante el proyecto y que impactara en su resultado","Evento posible del futuro del proyecto","Lo que afecta negativamente en el resultado del proyecto","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuando ya se tiene establecida la línea base de requisitos y surgen cambios en los mismos, lo que es muy habitual en la mayoría de los proyectos. ¿Qué se debería hacer?","Burplero Final","No aceptarlo y apoyarse en los contratos","Aceptarlo y motivar al equipo pra cumplirlo sin alterar las condiciones del contrato","Someter el pedido a un proceso de control de cambios","Negarse debido a que no resulta conveniente modificar la linea base","","","","","3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cual de los siguientes son Objetivos de la fase de Inicio del Proceso Unificado?","Burplero Final","Establecer al menos una solucion potencial, identificando una arquitectura candidata","Elaborar el plan detallado para cada iteracion de la fase de construccion","Obtener una comprension detallada de los requisitos especificando la mayoria de los Casos de Uso","Identificar los riesgos criticos y elaborar un plan para mitiarlos","Determinar la Viabilidad del Proyecto","","","","1;4;5","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"El mantenimiento que muestra un síntoma negativo para un sistema es el:","Burplero Final","Mantenimiento adaptativo","Mantenimiento perfectivo","Mantenimiento preventivo","Mantenimiento correctivo","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuales de las siguientes NO son ventajas de utilizar preguntas abiertas en una entrevista:","Burplero Final","Aseguran una mejor utilizacion del tiempo permitiendo entrevistas mas cortas","Revelan nuevas lineas de preguntas que pudieron haber pasado desapercibidas","Permiten mas espontaneidad","Facilita mantener el control durante la entrevista","Hacen mas interesante la entrevista para el entrevistado","","","","1;4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el Proceso Unificado, la viabilidad del proyecto se la debe determinar en:","Burplero Final","La fase de inicio","La fase de elaboracion","La disciplina de inicio","La disciplina captura de requisitos","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Dado el siguiente diagrama. La relación E representa:","Burplero Final","Generalizacion","Asociacion","<<include>>","<<extend>>","","","","","","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"El Sprint Backlog esta compuesto de:","Burplero Final","Historias de Usuario","Epics","Temas o Items","Tareas","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Es uno de los procesos cognitivos implicado en la modelización, por el cual se extrae lo fundamental, se centra en algunos aspectos o cualidades y aislá o deja de lado otros con el objeto de crear los modelos que son una representación formalizada y subjetiva de la realidad","Burplero Final","Concentracion","Abstraccion","Conceptualizacion","Sincronizacion","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"El resultado del estudio de viabilidad es:","Burplero Final","La planificacion detallada del proyecto","La estimacion exacta del costo - beneficio del proyecto","Un informe que recomiende si merece o no la pea seguir con la igenieria de requerimientos y el proceso de desarrollo del Sistema","El documento con el analisis detallado de los requerimientos del cliente","","","","","3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"El contexto del sistema está formado por todo elemento que queda fuera del límite de este","Burplero Final","Verdadero","Falso","","","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"La gráfica Burndown del Sprint es una herramienta utilizada por los equipos para:","Burplero Final","Calcular la cantidad restante del presupuesto del equipo","Medir el trabajo que falta completar durante un sprint","Medir el trabajo realizado durante un sprint","Identificar a los miembros del equipo de bajo rendimiento","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuando se detecta el grado en que el riesgo pueda afectar negativamente al proyecto, entonces se habla de:","Burplero Final","Impacto","Probabilidad","Estrategia","Factibilidad","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el Proceso Unificado, cuales de las siguientes actividades pertenecen al flujo de trabajo o disciplina Análisis:","Burplero Final","Encontrar Actores y Casos de Uso","Analizar un Paquete","Analizar la Interfaz de Usuario","Analizar la Estructura del modelo de casos de uso","Analizar una Clase","Analizar un caso de uso","","","2;5;6","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Las tecnologías de la información y las comunicaciones pueden influenciar en la estrategia del negocio","Burplero Final","Verdadero","Falso","","","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el proceso de modelado se emplean procesos cognitivos de:","Burplero Final","Actualizacion, Conceptualizacion y Simbolizacion","Actualizacion, Concentracion y Simbolizacion","Abstraccion, Conceptualizacion y Simbolizacion","Abstraccion, Conceptualizacion y Sincronizacion","","","","","3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Casos de Uso. Relacione las siguientes afirmaciones con sus correspondientes conceptos. Un mismo concepto se puede aplicar a varias afirmaciones.","Burplero Final","Postcondicion","Escenario","Actor Primario","Caso de Uso","Modelo de CU","Usuario","Condiciones que describen en que situacion debe quedar el sistema y su entorno una vez que el caso de uso haya finalizado con exito","Instancia de un caso de uso, es una secuencia especifica de acciones que ilustra un recorrido especifico y detallado","1=7;2=8;3=9;4=10;5=11;6=12","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cual de las siguientes características NO corresponde a una de las que cualifica a las propuestas ágiles:","Burplero Final","El cliente forma parte del proceso de desarrollo","No existe un contrato tradicional, o al menos es bastante flexible","Esta especialmente preparada para cambios en el proyecto","El cliente interactua con el equipo de desarrollo mediante reuniones poco frecuentes y muy formales","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Identifique, entre los siguientes, cuales son los tipos de mantenimiento de software vistos en la materia","Burplero Final","Mantenimiento Correctivo","Mantenimiento Negativo","Mantenimiento Preceptivo","Mantenimiento Adictivo","Mantenimiento Perfectivo","Mantenimiento Preventivo","Mantenimiento Positivo","Mantenimiento Adaptativo","1;5;6;8","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Un Caso de Uso:","Burplero Final","Muestra como el sistema internamente llevara a cabo cierta funcionalidad que es de valor para el actor","Representa un escenario posible cuando el actor utiliza el sistema con un objetivo","Esta asociado a uno o varios requisitos funcionales","Siempre esta asociado a un unico requisito funcional","","","","","3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Para visualizar los conceptos significativos para el dominio del problema y como se relacionan se utiliza:","Burplero Final","Modelo de Casos de Uso","Modelo Conceptual","Diagrama de Actividades","Diagrama de Casos de Uso del Negocio","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el Proceso Unificado, en todas las iteraciones se dedica aproximadamente el mismo esfuerzo a los distintos flujos de trabajo:","Burplero Final","Verdadero","Falso","","","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuáles de las siguientes afirmaciones son correctas sobre el ciclo de vida en el Proceso Unificado?","Burplero Final","Es la primer propuesta metodologica agil","Es un marco generico que puede especializarse de acuerdo al proyecto particular","Es la mejor propuesta metodologica para cualquier tipo de proyeto","Propone iteraciones controladas, lo que reduce el costo del riesgo a un solo incremento","Es un estandar para el desarrollo de software de calidad","La vida de un sistema se repite a lo largo de una serie de ciclos donde cada ciclo concluye con una version del producto","","","2;4;5;6","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"La lista ordenada de todo lo que podría ser necesario en el producto y que es la única fuente de requisitos se denomina:","Burplero Final","Product Backlog","Sprint Backlog","Product Owner","Tablon de Tareas","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En Orientación a Objetos ¿Cómo se denomina la clase que no tiene instancias?","Burplero Final","Huerfana","No existen clases sin instancias","Invisible","Abstracta","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Las características de las buenas herramientas de modelado de sistemas es que debe:","Burplero Final","Ser grafica con el mismo nivel de detalle","Ser grafica con detalles textuales de apoyo","Ser Orientada a Objetos","Ser transparente para quien lo utilice","Tener redundancia minima","Ser representado en su totalidad en una sola hoja","Permitir que el sistema sea visto en segmentos en forma descendente","","2;4;5;7","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuales de las siguientes alternativas reflejan alguna de las características propias de un Sistema de Soporte a las Decisiones?","Burplero Final","Son sistemas de informacion interactivos y amigables, con altos estandares de diseño grafico y visual","Son faciles de justificar ante la direccion general, ya que sus beneficios son visibles y cuantificables en el corto plazo","Suelen ser intensivos en calculos y escasos en entradas y salidas de informacion, la cual toman de los sistemas transaccionales","Son facilmente adaptables a paquetes de aplicacion que se encuentran en el mercado","Son el primer tipo de sistemas de informacion que se implanta en las organizaciones","Apoyan el proceso de innovacion de productos y procesos dentro de la empresa, debido a que buscan ventajas respecto de los","","","1;3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Un Diagrama de Actividad solo puede tener una única actividad final","Burplero Final","Verdadero","Falso","","","","","","","2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Las Entrevistas según su objetivo se clasifican en","Burplero Final","Iniciales, de Reconocimiento y de seguridad","Iniciales, Estructuradas y No Estructuradas","Iniciales, de Seguimiento y No Estructuradas","Iniciales, de Recoleccion de datos y de seguimiento","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Un paquete de análisis puede estar compuesto por otros paquetes de análisis","Burplero Final","Verdadero","Falso","","","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"El describir siempre un contexto, un evento y la respuesta o consecuencia esperada se utiliza para:","Burplero Final","Escribir los criterios de aceptacion","La conversion de la Historia de Usuario que se mantiene con el Scrum Master","La descripcion breve, de una funcionalidad del software tal y como la percibe el usuario","El post-it de la Historia de Usuario que se utiliza como la especificacion de requisitos","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En el Proceso Unificado, la viabilidad del proyecto se la debe determinar en:","Burplero Final","La fase de inicio","La disciplina captura de requisitos","La disciplina inicio","La fase elaboracion","","","","","1","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuando se inicia un Proyecto de Sistema, lo primero que se debe identificar son los:","Burplero Final","Requisitos Funcionales","Requerimientos del Usuario","Requerimientos del Negocio","Requisitos del Software","","","","","3","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuales de las siguientes afirmaciones sobre las Tecnologías de la Información y las Comunicaciones son correctas:","Burplero Final","Pueden influenciar en la determinacion de la estrategia del negocio","La inversion en ellas debe estar en funcion a la utilizacion y aprovechamiento que se dara a las mismas","Siempre debemos utilizar tecnologias de punta (la ultima que salio al mercado) y adaptar las organizaciones y sistemas de informacion a ellas","Son inocuas, pueden introducirse sin cambiar, se sigue haciendo lo mismo que antes y de la misma manera, solo que utilizando una tecnologia diferente","Son independientes a las estrategias","","","","1;2","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Ciencia e Ingeniería se han desarrollado en forma paralela y complementaria. Identifique cuál o cuáles las siguientes afirmaciones son correctas:","Burplero Final","El objetivo de la ciencia es resolver problemas por la aplicacion de teorias","La finalidad de la ingenieria es la busqueda de conocimiento, a fin de entender de una forma logica y racional el entorno","El ingeniero busca conocer. Aplicar sus conocimientos para incrementar ese mismo conocimiento","La ingenieria se basa en el ""hacer"", aplicar el conocimiento para resolver problemas del mundo real","La ciencia se basa en ""saber"", implica la busqueda del conocimiento para explicar los hechos que ocurren en nuestro mundo","La ingenieria es la aplicacion de diferentes conocimientos para de ese modo poder satisfacer distintas necesidades del ser humano, es la aplicacion del conocimiento","","","4;5;6","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuando se está haciendo un estudio preliminar y se desea medir la opinión general de muchas personas antes de que se determine el rumbo que tomara el proyecto de sistemas, es aconsejable la técnica:","Burplero Final","Entrevista","Brainstorming","Observacion","Cuestionario","","","","","4","Correctas verificadas contra el PDF ""Apunte Burplero Final""."
